iter	RMSE
0	22947.43102
1	22920.43516
2	22893.37335
3	22866.53728
4	22839.8374
5	22814.81099
6	22789.17821
7	22762.52771
8	22736.92796
9	22713.14124
10	22688.8094
11	22664.73341
12	22640.28175
13	22616.12007
14	22593.08792
15	22569.49329
16	22545.69685
17	22522.22645
18	22500.43832
19	22478.25994
20	22456.67721
21	22435.69216
22	22414.59685
23	22393.22576
24	22372.64825
25	22351.80646
26	22331.52358
27	22310.83753
28	22296.12339
29	22285.58398
30	22266.64746
31	22262.01009
32	22242.93609
33	22224.48387
34	22220.39663
35	22209.64343
36	22204.8085
37	22201.08608
38	22182.33407
39	22167.75308
40	22148.26845
41	22131.22683
42	22118.33981
43	22107.79406
44	22103.82275
45	22089.82709
46	22084.5021
47	22067.67043
48	22063.90688
49	22057.97119
50	22041.79248
51	22036.51545
52	22020.42587
53	22016.96966
54	22013.45815
55	21999.07386
56	21995.59867
57	21992.17558
58	21976.04262
59	21972.30419
60	21957.72059
61	21953.31898
62	21947.11265
63	21943.08743
64	21937.98127
65	21934.39935
66	21930.83344
67	21916.75766
68	21913.49525
69	21909.38334
70	21893.78582
71	21879.28355
72	21875.43229
73	21872.69415
74	21868.87966
75	21864.63336
76	21860.31311
77	21856.83293
78	21843.76673
79	21839.84991
80	21836.06804
81	21832.31012
82	21818.29088
83	21803.55974
84	21788.23037
85	21784.85033
86	21781.55155
87	21778.17175
88	21775.24039
89	21771.64191
90	21756.76383
91	21753.63238
92	21743.54776
93	21729.45392
94	21725.46607
95	21722.21386
96	21718.50632
97	21705.42519
98	21690.51268
99	21686.18331
100	21683.04277
101	21680.18636
102	21677.3412
103	21674.47222
104	21660.36897
105	21647.86197
106	21638.56582
107	21634.70433
108	21620.57967
109	21606.9943
110	21594.73815
111	21591.96053
112	21587.74826
113	21579.50363
114	21570.56795
115	21556.9481
116	21553.50792
117	21550.63098
118	21538.24638
119	21534.84572
120	21522.88556
121	21514.18956
122	21510.97067
123	21506.61882
124	21503.4093
125	21499.88628
126	21487.36644
127	21484.57005
128	21476.11596
129	21473.5592
130	21470.24746
131	21466.89114
132	21457.22024
133	21453.67103
134	21449.53846
135	21446.33283
136	21443.14069
137	21440.1164
138	21427.76661
139	21424.5677
140	21413.15844
141	21401.50524
142	21398.86276
143	21395.74914
144	21392.92003
145	21382.17109
146	21378.45171
147	21368.66499
148	21365.71655
149	21355.23077
150	21352.21192
151	21340.64432
152	21338.35182
153	21335.05375
154	21323.10102
155	21319.98687
156	21316.3713
157	21314.08742
158	21311.09645
159	21308.36715
160	21296.50328
161	21286.19664
162	21278.94121
163	21275.73379
164	21273.19726
165	21264.46403
166	21261.29425
167	21253.63647
168	21242.96954
169	21235.74755
170	21232.37486
171	21223.41108
172	21220.94552
173	21218.51191
174	21215.13659
175	21212.70593
176	21202.87138
177	21200.56356
178	21189.49412
179	21179.65751
180	21169.42589
181	21160.83399
182	21154.01456
183	21143.6665
184	21141.65446
185	21138.70063
186	21136.92331
187	21134.88723
188	21125.39949
189	21121.97358
190	21113.08785
191	21110.77677
192	21106.7377
193	21103.04345
194	21100.76189
195	21098.57725
196	21088.78063
197	21086.52384
198	21077.23703
199	21075.14074
200	21066.35852
201	21063.39794
202	21060.66254
203	21058.11206
204	21055.9118
205	21046.58612
206	21044.43796
207	21034.41335
208	21028.34136
209	21025.45634
210	21018.90895
211	21009.02855
212	21003.31605
213	20997.83377
214	20992.64183
215	20989.27481
216	20980.40407
217	20978.72484
218	20974.69305
219	20968.12141
220	20966.30268
221	20959.65751
222	20956.75318
223	20954.34222
224	20946.07891
225	20940.75148
226	20938.02697
227	20935.98095
228	20927.19269
229	20925.15902
230	20922.98218
231	20917.46548
232	20915.16868
233	20913.06943
234	20904.64651
235	20901.68301
236	20896.11753
237	20892.00917
238	20882.52935
239	20880.06107
240	20878.38971
241	20876.09908
242	20874.02127
243	20870.67169
244	20862.34127
245	20860.01604
246	20850.50905
247	20844.83498
248	20842.64669
249	20835.12158
250	20831.9172
251	20824.20997
252	20814.97116
253	20809.69871
254	20802.31708
255	20798.88175
256	20797.17746
257	20789.45393
258	20785.09836
259	20779.89144
260	20772.3245
261	20770.20263
262	20762.88416
263	20756.68388
264	20752.72256
265	20747.58517
266	20745.03749
267	20737.87138
268	20734.53718
269	20727.52018
270	20725.76014
271	20724.00385
272	20722.20738
273	20715.50835
274	20709.13221
275	20703.61777
276	20698.53169
277	20696.71584
278	20694.95336
279	20688.80654
280	20680.79027
281	20675.81037
282	20673.79606
283	20667.48266
284	20663.52297
285	20659.94248
286	20657.31023
287	20649.72873
288	20648.09563
289	20641.36313
290	20639.47935
291	20636.70363
292	20634.7001
293	20633.07864
294	20627.0825
295	20622.50496
296	20613.88928
297	20611.07292
298	20609.21323
299	20607.61317
300	20605.72332
301	20602.6661
302	20599.01232
303	20590.50592
304	20587.90471
305	20586.1214
306	20578.91333
307	20575.32845
308	20569.04634
309	20567.2931
310	20565.69306
311	20562.75808
312	20556.6856
313	20550.6667
314	20542.45224
315	20540.55004
316	20536.04662
317	20534.37758
318	20528.02013
319	20526.63468
320	20520.91586
321	20519.36044
322	20517.35841
323	20515.81367
324	20514.05
325	20506.43984
326	20504.8473
327	20500.68809
328	20498.78562
329	20496.38816
330	20494.51724
331	20491.97203
332	20486.77638
333	20481.71328
334	20480.02901
335	20478.4241
336	20475.21701
337	20470.73272
338	20465.04132
339	20463.03212
340	20458.31913
341	20456.84864
342	20455.47597
343	20454.0319
344	20450.05076
345	20446.69177
346	20444.68215
347	20441.0682
348	20439.88234
349	20433.51046
350	20428.45475
351	20427.04751
352	20421.18763
353	20418.30934
354	20415.84803
355	20412.75501
356	20405.87996
357	20404.47461
358	20402.28066
359	20400.45759
360	20394.24157
361	20392.56554
362	20391.14811
363	20389.12255
364	20381.99944
365	20380.55968
366	20378.89016
367	20377.86354
368	20376.30901
369	20375.07432
370	20370.09636
371	20364.87244
372	20360.03463
373	20354.64715
374	20348.80787
375	20342.94134
376	20341.21069
377	20337.00108
378	20335.20393
379	20332.70291
380	20330.90105
381	20326.58327
382	20323.04919
383	20315.68326
384	20308.91764
385	20307.50408
386	20304.9199
387	20301.57009
388	20294.55742
389	20293.25717
390	20291.59357
391	20288.29425
392	20284.3234
393	20282.91177
394	20281.62623
395	20277.82461
396	20276.38057
397	20272.50737
398	20268.35904
399	20264.57293
400	20259.20588
401	20255.72715
402	20253.15282
403	20247.87538
404	20244.91318
405	20243.15599
406	20239.39625
407	20235.79897
408	20234.44065
409	20232.86018
410	20230.48858
411	20229.49336
412	20225.86534
413	20224.30501
414	20222.73598
415	20221.01631
416	20219.09674
417	20213.48474
418	20212.1771
419	20208.37331
420	20207.31183
421	20205.36313
422	20200.92268
423	20194.54655
424	20193.25962
425	20192.06042
426	20189.12968
427	20184.35466
428	20181.62365
429	20180.31856
430	20175.47689
431	20171.18505
432	20165.28325
433	20162.92588
434	20159.32603
435	20153.66571
436	20150.79761
437	20149.10664
438	20148.07812
439	20146.83659
440	20144.49443
441	20141.52221
442	20139.38861
443	20135.47824
444	20132.04155
445	20130.45594
446	20129.21538
447	20128.36898
448	20124.874
449	20123.57235
450	20120.87641
451	20116.36732
452	20111.72963
453	20110.57777
454	20107.44695
455	20106.35099
456	20103.2312
457	20102.00124
458	20095.65865
459	20092.2469
460	20087.89327
461	20084.62509
462	20083.33701
463	20081.76718
464	20080.29155
465	20078.88088
466	20077.7656
467	20073.32591
468	20070.10732
469	20068.54923
470	20062.28321
471	20057.90329
472	20055.59238
473	20049.79297
474	20048.4138
475	20044.15606
476	20039.72399
477	20038.50463
478	20034.49264
479	20033.30055
480	20027.48298
481	20026.50204
482	20020.49883
483	20019.12996
484	20014.55489
485	20011.66897
486	20008.31545
487	20007.04235
488	20002.88744
489	20000.74218
490	19998.6287
491	19996.08472
492	19993.46491
493	19989.43832
494	19986.39812
495	19983.26348
496	19979.13928
497	19978.1413
498	19973.69454
499	19969.84786
500	19968.38292
501	19963.48861
502	19959.97754
503	19955.539
504	19950.90476
505	19946.70129
506	19943.31345
507	19940.61365
508	19938.58715
509	19937.21296
510	19932.56035
511	19931.37219
512	19929.23052
513	19925.70669
514	19924.72967
515	19923.51633
516	19921.58938
517	19917.70373
518	19915.31076
519	19911.32828
520	19910.18229
521	19906.83727
522	19905.54484
523	19904.49463
524	19902.22187
525	19901.05937
526	19895.79175
527	19893.69945
528	19889.35789
529	19885.60258
530	19884.17
531	19882.77153
532	19881.67341
533	19876.66335
534	19872.74397
535	19871.7814
536	19868.84424
537	19864.41105
538	19860.92809
539	19856.11788
540	19855.15944
541	19849.90881
542	19848.76593
543	19847.81093
544	19844.88901
545	19842.21998
546	19841.25793
547	19840.07405
548	19837.29787
549	19834.24294
550	19833.23783
551	19828.4906
552	19827.59194
553	19826.82099
554	19825.55552
555	19824.79264
556	19821.86969
557	19817.09818
558	19813.93709
559	19811.21983
560	19810.32155
561	19806.53884
562	19803.72929
563	19801.45113
564	19798.80745
565	19796.48287
566	19795.63249
567	19792.01997
568	19790.13441
569	19787.91501
570	19786.69425
571	19784.98532
572	19780.51787
573	19777.83874
574	19776.6774
575	19772.93558
576	19769.72882
577	19767.02954
578	19762.8156
579	19761.54421
580	19756.85655
581	19755.60811
582	19754.1689
583	19752.94079
584	19748.18546
585	19745.31618
586	19744.51703
587	19741.73728
588	19738.09423
589	19734.05158
590	19730.45673
591	19729.42776
592	19726.66227
593	19722.43312
594	19721.08003
595	19717.13216
596	19714.32813
597	19713.26857
598	19712.36472
599	19709.61528
600	19705.5697
601	19703.51309
602	19702.65529
603	19701.47726
604	19697.55397
605	19693.87692
606	19690.2188
607	19688.21026
608	19683.79448
609	19680.18368
610	19679.14859
611	19675.48548
612	19673.33609
613	19672.04424
614	19668.45723
615	19665.51692
616	19664.47818
617	19660.86749
618	19659.02145
619	19655.4272
620	19653.26479
621	19651.87676
622	19651.19172
623	19649.9663
624	19645.34579
625	19642.27409
626	19639.28696
627	19635.99207
628	19633.46899
629	19631.11131
630	19627.84794
631	19627.05408
632	19625.52612
633	19624.08971
634	19622.81004
635	19621.857
636	19620.56205
637	19618.32938
638	19615.35404
639	19613.51288
640	19611.73955
641	19608.51528
642	19606.64164
643	19605.46354
644	19604.63169
645	19603.26996
646	19601.94602
647	19601.10917
648	19598.31064
649	19594.28747
650	19593.14522
651	19590.44358
652	19589.49928
653	19587.75737
654	19584.11918
655	19582.6967
656	19581.58748
657	19578.86541
658	19577.93215
659	19574.28362
660	19573.33079
