iter	Passed	Remaining
0	12	8624
1	23	8365
2	32	7637
3	45	7836
4	57	7938
5	67	7795
6	77	7720
7	90	7851
8	105	8065
9	116	8035
10	127	7991
11	137	7905
12	148	7833
13	160	7865
14	169	7757
15	182	7787
16	191	7685
17	201	7616
18	213	7645
19	223	7590
20	233	7546
21	243	7499
22	253	7447
23	262	7385
24	272	7364
25	283	7341
26	291	7270
27	300	7223
28	309	7167
29	319	7129
30	330	7126
31	341	7125
32	352	7128
33	364	7139
34	378	7188
35	392	7240
36	406	7281
37	418	7289
38	429	7283
39	440	7272
40	452	7267
41	463	7259
42	472	7215
43	484	7221
44	495	7213
45	506	7196
46	516	7177
47	527	7168
48	539	7171
49	550	7154
50	562	7155
51	573	7149
52	585	7144
53	597	7147
54	609	7143
55	617	7105
56	626	7061
57	633	7016
58	642	6980
59	650	6937
60	659	6907
61	666	6861
62	675	6832
63	683	6788
64	691	6751
65	698	6706
66	706	6671
67	712	6626
68	722	6605
69	819	7375
70	847	7504
71	863	7533
72	878	7542
73	891	7539
74	902	7522
75	914	7506
76	925	7488
77	935	7460
78	944	7427
79	956	7416
80	966	7386
81	975	7350
82	986	7333
83	996	7304
84	1004	7265
85	1012	7230
86	1020	7187
87	1027	7143
88	1034	7099
89	1043	7069
90	1051	7033
91	1058	6995
92	1066	6961
93	1074	6926
94	1081	6890
95	1091	6866
96	1101	6844
97	1108	6812
98	1117	6785
99	1125	6754
100	1135	6732
101	1143	6706
102	1153	6685
103	1177	6747
104	1187	6731
105	1199	6724
106	1210	6709
107	1222	6698
108	1237	6710
109	1249	6701
110	1264	6709
111	1274	6693
112	1287	6687
113	1299	6678
114	1310	6668
115	1323	6661
116	1337	6665
117	1349	6656
118	1364	6663
119	1375	6649
120	1388	6643
121	1402	6644
122	1414	6636
123	1425	6621
124	1436	6607
125	1446	6591
126	1458	6582
127	1474	6590
128	1489	6594
129	1502	6588
130	1515	6581
131	1525	6565
132	1537	6553
133	1549	6546
134	1564	6546
135	1582	6561
136	1593	6547
137	1606	6543
138	1626	6564
139	1638	6552
140	1655	6561
141	1672	6571
142	1691	6587
143	1707	6592
144	1720	6583
145	1732	6573
146	1746	6570
147	1758	6560
148	1770	6546
149	1784	6543
150	1795	6527
151	1806	6512
152	1817	6499
153	1827	6481
154	1840	6470
155	1852	6460
156	1864	6449
157	1880	6452
158	1891	6435
159	1901	6418
160	1915	6411
161	1929	6406
162	1938	6387
163	1947	6365
164	1957	6347
165	1967	6330
166	1988	6345
167	1997	6324
168	2007	6308
169	2018	6294
170	2028	6276
171	2043	6271
172	2054	6259
173	2066	6245
174	2091	6275
175	2106	6272
176	2121	6269
177	2134	6259
178	2149	6257
179	2159	6239
180	2170	6222
181	2181	6209
182	2191	6190
183	2203	6178
184	2213	6160
185	2222	6142
186	2232	6123
187	2244	6112
188	2254	6095
189	2264	6079
190	2294	6114
191	2305	6099
192	2313	6078
193	2324	6062
194	2333	6043
195	2351	6047
196	2361	6029
197	2372	6016
198	2388	6012
199	2399	5999
200	2408	5979
201	2420	5967
202	2431	5952
203	2440	5934
204	2453	5923
205	2463	5908
206	2473	5891
207	2483	5874
208	2494	5860
209	2506	5847
210	2514	5827
211	2523	5809
212	2532	5791
213	2541	5770
214	2549	5752
215	2557	5731
216	2567	5714
217	2576	5695
